Day,Appeal,Device,LS/RT/AT,Media,Structure/Menu,Recency/Segment,Impressions,Clicks,CV,Media Cost Margin,Google_AdRank,Yahoo!_AdRank
2018/2/6,05_海外への送金,PC,Listing,Google,,,9,0,,\0,2.36,
2018/2/6,06_外貨預金,SP,RT,YDN,S3.口座開設詳細離脱,16日～30日,68,0,,\0,,
2018/2/6,03_口座開設一般,PC,RT,YDN,S3.口座開設詳細離脱,1日～3日,9,0,,\0,,
2018/2/6,03_口座開設一般,SP,RT,YDN,S3.口座開設詳細離脱,1日～3日,57,0,,\0,,
2018/2/6,06_外貨預金,PC,RT,YDN,S3.口座開設詳細離脱,16日～30日,777,0,,\0,,
2018/2/6,06_外貨預金,PC,RT,GDN,S4.申込フォーム離脱_STEP2,-,710,1,,\566,,
2018/2/6,04_海外での利用,SP,RT,YDN,S2.コンテンツ離脱,31日～90日,"4,543",4,,\512,,
2018/2/6,04_海外での利用,PC,RT,YDN,S2.コンテンツ離脱,31日～90日,"16,636",2,,\264,,
2018/2/6,04_海外での利用,SP,RT,YDN,S3.口座開設詳細離脱,16日～30日,161,0,,\0,,
2018/2/6,04_海外での利用,PC,RT,YDN,S3.口座開設詳細離脱,16日～30日,"1,502",0,,\0,,
2018/2/6,04_海外での利用,SP,RT,GDN,S5.申込フォーム離脱_STEP3,-,26,0,,\0,,
2018/2/6,04_海外での利用,PC,RT,GDN,S5.申込フォーム離脱_STEP3,-,135,0,,\0,,
2018/2/6,03_口座開設一般,SP,RT,YDN,S2.コンテンツ離脱,1日,"10,168",5,,\575,,
2018/2/6,02_指名関連,SP,Listing,Yahoo!,-,-,"1,860",20,,"\4,298",,1.81
2018/2/6,04_海外での利用,PC,RT,YDN,S3.口座開設詳細離脱,8日～15日,378,1,,\19,,
2018/2/6,02_指名関連,SP,Listing,Yahoo!,,,27,0,1,\0,,1.88
2018/2/6,02_指名関連,PC,Listing,Yahoo!,,,83,4,,\372,,2.6
2018/2/6,02_指名関連,PC,Listing,Yahoo!,-,-,"3,810",76,,"\14,837",,2.16
2018/2/6,04_海外での利用,SP,RT,YDN,S3.口座開設詳細離脱,8日～15日,329,0,,\0,,
2018/2/6,03_口座開設一般,SP,RT,YDN,S2.コンテンツ離脱,31日～90日,"3,557",4,,\372,,
2018/2/6,03_口座開設一般,PC,RT,YDN,S2.コンテンツ離脱,31日～90日,"1,737",1,,\109,,
