Day,Appeal,Device,LS/RT/AT,Media,Structure/Menu,Recency/Segment,Impressions,Clicks,CV,Media Cost Margin,Google_position,Yahoo!_Position
11-Dec-17,02_指名関連,PC,Listing,Yahoo!,-,-,32833,63,,21179,NaN,2.02
11-Dec-17,00_手数料無料,PC,RT,Y!JAX,S3.口座開設詳細離脱,1日～7日,520,2,,287,NaN,NaN
11-Dec-17,00_手数料無料,PC,RT,YDN,S2.コンテンツ離脱,16日～30日,460,0,,0,NaN,NaN
11-Dec-17,02_指名関連,SP,Listing,Yahoo!,-,-,27745,39,,10686,NaN,1.77
11-Dec-17,02_指名関連,SP,Listing,Yahoo!,,,2754,3,,217,NaN,1.7
11-Dec-17,00_手数料無料,PC,RT,Y!JAX,S3.口座開設詳細離脱,16日～30日,429,1,,283,NaN,NaN
11-Dec-17,06_外貨預金,SP,RT,GDN,S3.口座開設詳細離脱,-,4196,8,,841,NaN,NaN
11-Dec-17,01_指名,SP,Listing,Yahoo!,-,-,566,18,,2220,NaN,1.02
11-Dec-17,06_外貨預金,PC,RT,Y!JAX,S4.申込フォーム離脱,1日～7日,187,3,,174,NaN,NaN
11-Dec-17,03_口座開設一般,PC,RT,GDN,S3.口座開設詳細離脱,-,1214,1,,71,NaN,NaN
11-Dec-17,06_外貨預金,PC,RT,Y!JAX,S3.口座開設詳細離脱,8日～15日,980,3,,802,NaN,NaN
11-Dec-17,02_指名関連,PC,Listing,Yahoo!,,,3593,12,,3725,NaN,2.03
11-Dec-17,00_手数料無料,PC,RT,Y!JAX,S3.口座開設詳細離脱,8日～15日,625,1,,423,NaN,NaN
11-Dec-17,03_口座開設一般,PC,Listing,Yahoo!,,,67,1,,418,NaN,2.76
11-Dec-17,03_口座開設一般,PC,RT,Y!JAX,S2.コンテンツ離脱,16日～30日,26,0,,3,NaN,NaN
11-Dec-17,03_口座開設一般,PC,AT,GDN,-,-,10671,6,,599,NaN,NaN
11-Dec-17,03_口座開設一般,PC,Listing,Yahoo!,-,-,6423,36,,11656,NaN,2.23
11-Dec-17,00_手数料無料,PC,RT,Y!JAX,S1.TOPページ離脱,8日～15日,395,0,,248,NaN,NaN
11-Dec-17,00_手数料無料,SP,RT,YDN,S2.コンテンツ離脱,16日～30日,151,1,,104,NaN,NaN
11-Dec-17,06_外貨預金,PC,RT,GDN,S3.口座開設詳細離脱,-,1066,0,,0,NaN,NaN
11-Dec-17,03_口座開設一般,SP,AT,GDN,-,-,6202,14,,1046,NaN,NaN
11-Dec-17,00_手数料無料,SP,RT,YDN,S2.コンテンツ離脱,1日～3日,60,0,,0,NaN,NaN
11-Dec-17,00_手数料無料,PC,RT,GDN,S3.口座開設詳細離脱,-,749,3,,388,NaN,NaN
11-Dec-17,03_口座開設一般,PC,RT,Y!JAX,S2.コンテンツ離脱,8日～15日,32,0,,4,NaN,NaN
11-Dec-17,00_手数料無料,SP,RT,GDN,S3.口座開設詳細離脱,-,1314,1,,196,NaN,NaN
11-Dec-17,,PC,Listing,Yahoo!,,,,,,,NaN,NaN
11-Dec-17,06_外貨預金,PC,RT,Y!JAX,S3.口座開設詳細離脱,16日～30日,633,2,,485,NaN,NaN
11-Dec-17,06_外貨預金,PC,RT,Y!JAX,S3.口座開設詳細離脱,1日～7日,985,4,,742,NaN,NaN
11-Dec-17,00_手数料無料,PC,RT,Y!JAX,S1.TOPページ離脱,1日～7日,818,0,,488,NaN,NaN
11-Dec-17,00_手数料無料,PC,RT,YDN,S2.コンテンツ離脱,1日～3日,384,0,,0,NaN,NaN
11-Dec-17,03_口座開設一般,SP,Listing,Yahoo!,-,-,5553,44,,14048,NaN,1.73
