Day,Appeal,Device,LS/RT/AT,Media,Structure/Menu,Recency/Segment,Impressions,Clicks,CV,Media Cost Margin,Google_AdRank,Yahoo!_AdRank
2018/2/6,02_指名関連,SP,Listing,Yahoo!,,,27 ,0 ,1 ,0 ,,2 
2018/2/6,02_指名関連,PC,Listing,Yahoo!,,,83 ,4 ,,372 ,,3 
2018/2/6,02_指名関連,PC,Listing,Yahoo!,-,-,3810 ,76 ,,14837 ,,2 
2018/2/6,04_海外での利用,SP,RT,YDN,S3.口座開設詳細離脱,8日～15日,329 ,0 ,,0 ,,
2018/2/6,03_口座開設一般,SP,RT,YDN,S2.コンテンツ離脱,31日～90日,3557 ,4 ,,372 ,,
2018/2/6,03_口座開設一般,PC,RT,YDN,S2.コンテンツ離脱,31日～90日,1737 ,1 ,,109 ,,
2018/2/6,01_指名,PC,Listing,Google,,,84 ,3 ,1 ,160 ,1 ,
2018/2/6,01_指名,PC,Listing,Yahoo!,-,-,1826 ,73 ,,4842 ,,1 
2018/2/6,04_海外での利用,PC,RT,YDN,S2.コンテンツ離脱,16日～30日,10213 ,1 ,,167 ,,
2018/2/6,01_指名,PC,Listing,Google,-,-,1886 ,109 ,2 ,15136 ,1 ,
2018/2/6,01_指名,SP,Listing,Yahoo!,-,-,617 ,11 ,,840 ,,1 
2018/2/6,01_指名,SP,Listing,Google,-,-,1349 ,155 ,2 ,8986 ,1 ,
2018/2/6,04_海外での利用,SP,RT,YDN,S2.コンテンツ離脱,16日～30日,2058 ,3 ,,292 ,,
2018/2/6,01_指名,SP,Listing,Google,,,101 ,5 ,,416 ,1 ,
2018/2/6,04_海外での利用,PC,Listing,Google,-,-,462 ,5 ,,1360 ,3 ,
2018/2/6,04_海外での利用,SP,RT,YDN,S3.口座開設詳細離脱,1日～3日,143 ,0 ,,0 ,,
2018/2/6,04_海外での利用,PC,RT,GDN,S3.口座開設詳細離脱,-,6744 ,9 ,,914 ,,
2018/2/6,04_海外での利用,PC,RT,YDN,S3.口座開設詳細離脱,1日～3日,276 ,0 ,,0 ,,
2018/2/6,04_海外での利用,SP,RT,GDN,S3.口座開設詳細離脱,-,8509 ,16 ,,1444 ,,
2018/2/6,06_外貨預金,PC,RT,YDN,S3.口座開設詳細離脱,31日～90日,998 ,0 ,,0 ,,
2018/2/6,03_口座開設一般,SP,RT,YDN,S3.口座開設詳細離脱,31日～90日,273 ,0 ,,0 ,,
