Appeal,Device,LS/RT/AT,Media,Structure/Menu,Recency/Segment,Day,Impressions,Clicks,CV,Media Cost Margin
00_手数料無料,SP,RT,YDN,S1.TOPページ離脱,4日～7日,2017/12/11,25,0,,0
06_外貨預金,SP,RT,YDN,S4.申込フォーム離脱,8日～15日,2017/12/11,104,0,,0
06_外貨預金,PC,RT,YDN,S4.申込フォーム離脱,4日～7日,2017/12/11,67,0,,0
06_外貨預金,SP,RT,YDN,S4.申込フォーム離脱,31日～90日,2017/12/11,402,0,,0
00_手数料無料,SP,RT,YDN,S4.申込フォーム離脱,16日～30日,2017/12/11,627,0,,0
04_海外での利用,SP,AT,GDN,-,-,2017/12/11,20119,15,,1066
00_手数料無料,PC,RT,YDN,S4.申込フォーム離脱,16日～30日,2017/12/11,36,0,,0
06_外貨預金,PC,RT,YDN,S4.申込フォーム離脱,31日～90日,2017/12/11,369,0,,0
03_口座開設一般,PC,RT,Y!JAX,S1.TOPページ離脱,16日～30日,2017/12/11,176,0,,49
03_口座開設一般,PC,RT,YDN,S3.口座開設詳細離脱,31日～90日,2017/12/10,722,1,,58
00_手数料無料,PC,RT,Y!JAX,S1.TOPページ離脱,1日～7日,2017/12/10,254,2,,335
03_口座開設一般,SP,RT,YDN,S3.口座開設詳細離脱,31日～90日,2017/12/10,409,1,,80
03_口座開設一般,SP,AT,GDN,-,-,2017/12/10,678,3,,160
03_口座開設一般,PC,RT,YDN,S3.口座開設詳細離脱,8日～15日,2017/12/10,210,0,,0
03_口座開設一般,SP,RT,YDN,S3.口座開設詳細離脱,1日～3日,2017/12/10,53,0,,0
06_外貨預金,PC,RT,Y!JAX,S3.口座開設詳細離脱,16日～30日,2017/12/10,460,0,,564
06_外貨預金,PC,RT,Y!JAX,S3.口座開設詳細離脱,1日～7日,2017/12/10,295,2,,414
00_手数料無料,SP,RT,YDN,S3.口座開設詳細離脱,16日～30日,2017/12/10,1067,2,,125
00_手数料無料,PC,RT,Y!JAX,S1.TOPページ離脱,8日～15日,2017/12/10,126,1,,172
00_手数料無料,PC,RT,YDN,S3.口座開設詳細離脱,16日～30日,2017/12/10,101,0,,0
03_口座開設一般,PC,AT,GDN,-,-,2017/12/10,2050,4,,324
06_外貨預金,PC,AT,GDN,-,-,2017/12/10,56,0,,0
03_口座開設一般,SP,RT,YDN,S3.口座開設詳細離脱,16日～30日,2017/12/10,117,0,,0
06_外貨預金,SP,AT,GDN,-,-,2017/12/10,461,0,,0
06_外貨預金,PC,RT,YDN,S4.申込フォーム離脱,16日～30日,2017/12/10,194,0,,0
01_指名,SP,Listing,Yahoo!,-,-,2017/12/10,316,7,,1212
04_海外での利用,SP,RT,YDN,S4.申込フォーム離脱,1日～3日,2017/12/10,104,0,,0
03_口座開設一般,PC,RT,YDN,S3.口座開設詳細離脱,16日～30日,2017/12/10,371,0,,0
01_指名,PC,Listing,Yahoo!,-,-,2017/12/10,735,54,2,1531
00_手数料無料,PC,AT,Y!JAX,流出ターゲティング,-,2017/12/10,2521,7,,2049
00_手数料無料,PC,RT,GDN,S4.申込フォーム離脱,-,2017/12/10,823,2,,631
06_外貨預金,SP,RT,YDN,S4.申込フォーム離脱,16日～30日,2017/12/10,134,0,,0
06_外貨預金,SP,RT,YDN,S3.口座開設詳細離脱,4日～7日,2017/12/10,105,0,,0
06_外貨預金,SP,RT,YDN,S4.申込フォーム離脱,8日～15日,2017/12/10,101,0,,0
04_海外での利用,PC,RT,YDN,S4.申込フォーム離脱,1日～3日,2017/12/10,120,0,,0
00_手数料無料,SP,AT,GDN,-,-,2017/12/10,643,4,,70
03_口座開設一般,SP,RT,YDN,S3.口座開設詳細離脱,8日～15日,2017/12/10,88,0,,0
04_海外での利用,PC,RT,GDN,S3.口座開設詳細離脱,-,2017/12/10,5281,6,,676
04_海外での利用,SP,RT,GDN,S4.申込フォーム離脱,-,2017/12/10,16624,22,,6256
04_海外での利用,PC,RT,GDN,S4.申込フォーム離脱,-,2017/12/10,9736,7,,3980
04_海外での利用,SP,RT,GDN,S3.口座開設詳細離脱,-,2017/12/10,13774,25,,2573
06_外貨預金,SP,RT,YDN,S4.申込フォーム離脱,1日～3日,2017/12/10,58,0,,0
04_海外での利用,SP,RT,YDN,S4.申込フォーム離脱,16日～30日,2017/12/10,273,1,,350
06_外貨預金,SP,RT,YDN,S3.口座開設詳細離脱,8日～15日,2017/12/10,242,1,,17
00_手数料無料,PC,AT,GDN,-,-,2017/12/10,793,3,,156
